graph_name;graph_type;algorithm;max_flow;avg_runtime;avg_iterations;avg_bound;avg_r;avg_m;avg_n;avg_cFrac;avg_rBar;avg_time_per_mI;avg_time_per_nI;avg_time_over_nm;avg_time_over_I_sntm;avg_s_bar;avg_t_bar_forward;avg_t_bar_residual;avg_insert_norm;avg_delete_norm;avg_update_norm_m;avg_update_norm_theoretical
3graph_54_54_1000.dimacs;random_2level;fat;38616;36.858724200;201;300910.368991862;0.000667973;8694;2918;0;0;0.000010546;0.000062843;0.000000726;0.000015214;0.558508008;0.567002233;0.599454133;0.774997528;0.583554128;0.129332633;0.352959894
3graph_54_54_1000.dimacs;random_2level;scaling;38616;11.680742000;569;300910.368991862;0.001890929;8694;2918;0;0;0.000001181;0.000007035;0.000000230;0.000008543;0.273990539;0.080746959;0.092214880;-1;-1;-1;-1
4graph_56_56_1000.dimacs;random_2level;bfs;41513;326.312041400;3606;29346576;0.000122876;9352;3138;0.194557314;0.000662219;0.000004838;0.000028837;0.000005560;0.000004353;0.929739295;0.941027323;0.955579052;-1;-1;-1;-1
4graph_56_56_1000.dimacs;random_2level;dfs;41513;3360.002417000;41237.200000000;168000;0.245459524;9352;3138;0;0;0.000004356;0.000025965;0.000057247;0.000012176;0.670298083;0.239504575;0.245321459;-1;-1;-1;-1
4graph_56_56_1000.dimacs;random_2level;fat;41513;55.244930600;248;324665.934335974;0.000763862;9352;3138;0;0;0.000011910;0.000070988;0.000000941;0.000015051;0.644320915;0.653057652;0.683196108;0.822377619;0.683895639;0.145443272;0.396936230
4graph_56_56_1000.dimacs;random_2level;scaling;41513;17.083765400;632;324665.934335974;0.001946616;9352;3138;0;0;0.000001445;0.000008614;0.000000291;0.000008528;0.316295351;0.102205343;0.116405159;-1;-1;-1;-1
5graph_58_58_1000.dimacs;random_2level;bfs;42955;354.060609600;3851;33774444;0.000114021;10034;3366;0.194090094;0.000619042;0.000004581;0.000027314;0.000005242;0.000004135;0.923546569;0.934405804;0.952981869;-1;-1;-1;-1
5graph_58_58_1000.dimacs;random_2level;dfs;42955;3664.257417200;42770.800000000;174000;0.245809195;10034;3366;0;0;0.000004269;0.000025452;0.000054246;0.000012072;0.663734558;0.236340565;0.242289970;-1;-1;-1;-1
5graph_58_58_1000.dimacs;random_2level;fat;42955;60.642871600;245;349358.349099291;0.000701286;10034;3366;0;0;0.000012334;0.000073536;0.000000898;0.000016440;0.606044842;0.613696697;0.648597015;0.802516158;0.649331248;0.140917615;0.384593140
5graph_58_58_1000.dimacs;random_2level;scaling;42955;17.721074800;619;349358.349099291;0.001771820;10034;3366;0;0;0.000001427;0.000008505;0.000000262;0.000008785;0.301244892;0.099262346;0.111863123;-1;-1;-1;-1
6graph_60_60_1000.dimacs;random_2level;bfs;39649;368.511188600;3553;38685480;0.000091843;10740;3602;0.170251397;0.000563142;0.000004829;0.000028795;0.000004763;0.000004358;0.923466542;0.933982246;0.953052657;-1;-1;-1;-1
