graph_name;graph_type;algorithm;max_flow;avg_runtime;avg_iterations;avg_bound;avg_r;avg_m;avg_n;avg_cFrac;avg_rBar;avg_time_per_mI;avg_time_per_nI;avg_time_over_nm_n_plus_m;avg_time_over_r_2nm_sntm;avg_time_over_I_sntm;avg_s_bar;avg_t_bar_forward;avg_t_bar_residual;avg_insert_norm;avg_delete_norm;avg_update_norm_m;avg_update_norm_theoretical
16graph_80_80_1000.dimacs;random_2level;scaling;58864;111.275370000;895;240000;0.003729167;19120;6402;0;0;0.000006503;0.000019420;0.000000069;0.000000029;0.000018861;0.305457443;0.106450060;0.121246055;-1;-1;-1;-1
17graph_82_82_1000.dimacs;random_2level;bfs;59234;1580.485709000;7442;135125340;0.000055075;20090;6726;0.190517670;0.000309512;0.000010571;0.000031575;-0.000001104;0.000004106;0.000004681;0.944692239;0.945097063;0.971005475;-1;-1;-1;-1
17graph_82_82_1000.dimacs;random_2level;dfs;59234;11046.761887000;59062;246000;0.240089431;20090;6726;0;0;0.000009310;0.000027808;-0.000007718;0.000000018;0.000013117;0.665252140;0.238806519;0.243526988;-1;-1;-1;-1
17graph_82_82_1000.dimacs;random_2level;fat;59234;259.011041000;354;719555.445382253;0.000491970;20090;6726;0;0;0.000036420;0.000108782;-0.000000181;0.000000075;0.000016127;0.944543562;0.945097063;0.971005475;0.000148677;0.000148677;0.473294187;1.291936110
17graph_82_82_1000.dimacs;random_2level;scaling;59234;115.990595000;878;246000;0.003569106;20090;6726;0;0;0.000006576;0.000019641;-0.000000081;0.000000026;0.000018664;0.303105042;0.112596561;0.125428057;-1;-1;-1;-1
18graph_84_84_1000.dimacs;random_2level;bfs;58393;1607.704443000;7190;148810872;0.000048316;21084;7058;0.178547714;0.000290066;0.000010605;0.000031681;0.000006631;0.000004127;0.000004704;0.942193256;0.942278505;0.969597799;-1;-1;-1;-1
18graph_84_84_1000.dimacs;random_2level;dfs;58393;10980.856030000;58329;252000;0.231464286;21084;7058;0;0;0.000008929;0.000026673;0.000045292;0.000000017;0.000012833;0.653682679;0.234265518;0.238481444;-1;-1;-1;-1
18graph_84_84_1000.dimacs;random_2level;fat;58393;222.022483000;306;756623.131529775;0.000404429;21084;7058;0;0;0.000034413;0.000102800;0.000000916;0.000000068;0.000015264;0.942051573;0.942278505;0.969597799;0.000141683;0.000141683;0.450165569;1.228814425
18graph_84_84_1000.dimacs;random_2level;scaling;58393;99.487061000;911;252000;0.003615079;21084;7058;0;0;0.000005180;0.000015473;0.000000410;0.000000033;0.000025965;0.207572415;0.054273263;0.064998409;-1;-1;-1;-1
19graph_86_86_1000.dimacs;random_2level;bfs;62210;1865.485681000;8050;163510596;0.000049232;22102;7398;0.188715953;0.000280098;0.000010485;0.000031324;0.000005935;0.000004061;0.000004631;0.949175453;0.949371098;0.973237716;-1;-1;-1;-1
19graph_86_86_1000.dimacs;random_2level;dfs;62210;12138.668224000;62153;258000;0.240903101;22102;7398;0;0;0.000008836;0.000026399;0.000038620;0.000000015;0.000012564;0.661723763;0.236332266;0.240905880;-1;-1;-1;-1
19graph_86_86_1000.dimacs;random_2level;fat;62210;262.989522000;346;794655.818117933;0.000435409;22102;7398;0;0;0.000034390;0.000102742;0.000000837;0.000000065;0.000015189;0.949040281;0.949371098;0.973237716;0.000135172;0.000135172;0.449104860;1.225930189
19graph_86_86_1000.dimacs;random_2level;scaling;62210;116.380834000;916;258000;0.003550388;22102;7398;0;0;0.000005748;0.000017174;0.000000370;0.000000027;0.000022519;0.242996898;0.075176662;0.086968902;-1;-1;-1;-1
20graph_88_88_1000.dimacs;random_2level;bfs;59341;1795.560880000;7567;179273424;0.000042209;23144;7746;0.171750778;0.000262095;0.000010253;0.000030634;0.000001164;0.000003974;0.000004531;0.948360444;0.948453163;0.972627895;-1;-1;-1;-1
20graph_88_88_1000.dimacs;random_2level;dfs;59341;12337.026521000;59155;264000;0.224071970;23144;7746;0;0;0.000009011;0.000026924;0.000007994;0.000000014;0.000012922;0.655678342;0.235402338;0.238947852;-1;-1;-1;-1
20graph_88_88_1000.dimacs;random_2level;fat;59341;250.831765000;283;833655.137965303;0.000339469;23144;7746;0;0;0.000038296;0.000114424;0.000000163;0.000000069;0.000016926;0.948231345;0.948453163;0.972627895;0.000129099;0.000129099;0.478732172;1.306815783
20graph_88_88_1000.dimacs;random_2level;scaling;59341;117.808910000;885;264000;0.003352273;23144;7746;0;0;0.000005752;0.000017185;0.000000076;0.000000027;0.000023565;0.220533434;0.079403821;0.085136756;-1;-1;-1;-1
