graph_name;graph_type;algorithm;max_flow;avg_runtime;avg_iterations;avg_bound;avg_r;avg_m;avg_n;avg_cFrac;avg_rBar;avg_time_per_mI;avg_time_per_nI;avg_time_over_nm_n_plus_m;avg_time_over_r_2nm_sntm;avg_time_over_I_sntm;avg_s_bar;avg_t_bar_forward;avg_t_bar_residual;avg_insert_norm;avg_delete_norm;avg_update_norm_m;avg_update_norm_theoretical
10graph_68_25_1000.dimacs;square_mesh;fat;204000;395.572968000;320;4012198.820189594;0.000079757;113736;4626;0;0;0.000010869;0.000267221;-0.000000230;0.000000040;0.000005326;1;1;1;0.000216169;0.000216169;0.109234241;0.838695613
10graph_68_25_1000.dimacs;square_mesh;scaling;204000;152.315765000;670;204000;0.003284314;113736;4626;0;0;0.000001999;0.000049143;-0.000000089;0.000000006;0.000016196;0.306187932;0.092035379;0.055480406;-1;-1;-1;-1
11graph_70_25_1000.dimacs;square_mesh;bfs;210000;6415.992939000;18977;591132180;0.000032103;120590;4902;0.082336844;0.000407997;0.000002804;0.000068970;-0.000020329;0.000001347;0.000001374;1.000203998;1;1;-1;-1;-1;-1
11graph_70_25_1000.dimacs;square_mesh;dfs;210000;26648.840592000;127598;210000;0.607609524;120590;4902;0;0;0.000001732;0.000042605;-0.000084438;0.000000002;0.000007135;0.819160940;0.104755601;0.104714696;-1;-1;-1;-1
11graph_70_25_1000.dimacs;square_mesh;fat;210000;402.134008000;335;4264069.587725517;0.000078563;120590;4902;0;0;0.000009954;0.000244880;-0.000001274;0.000000035;0.000004878;1;1;1;0.000203998;0.000203998;0.107163956;0.823120219
11graph_70_25_1000.dimacs;square_mesh;scaling;210000;171.870515000;692;210000;0.003295238;120590;4902;0;0;0.000002060;0.000050667;-0.000000545;0.000000006;0.000017458;0.298968747;0.087677325;0.052910336;-1;-1;-1;-1
12graph_72_25_1000.dimacs;square_mesh;bfs;216000;7550.256436000;20175;661961784;0.000030478;127644;5186;0.083027796;0.000385654;0.000002932;0.000072163;0.000004164;0.000001409;0.000001437;1.000192827;1;1;-1;-1;-1;-1
12graph_72_25_1000.dimacs;square_mesh;dfs;216000;30817.817412000;137645;216000;0.637245370;127644;5186;0;0;0.000001754;0.000043173;0.000016996;0.000000002;0.000007150;0.816302504;0.106001376;0.106083475;-1;-1;-1;-1
12graph_72_25_1000.dimacs;square_mesh;fat;216000;438.599094000;341;4523874.859115122;0.000075378;127644;5186;0;0;0.000010077;0.000248017;0.000000242;0.000000033;0.000004938;1;1;1;0.000192827;0.000192827;0.108052193;0.830244950
12graph_72_25_1000.dimacs;square_mesh;scaling;216000;166.769096000;702;216000;0.003250000;127644;5186;0;0;0.000001861;0.000045808;0.000000092;0.000000004;0.000014876;0.298068545;0.093634832;0.056500782;-1;-1;-1;-1
13graph_74_25_1000.dimacs;square_mesh;bfs;222000;7994.833458000;21314;738971244;0.000028843;134898;5478;0.082984922;0.000365097;0.000002781;0.000068473;0.000004499;0.000001336;0.000001363;1.000182548;1;1;-1;-1;-1;-1
13graph_74_25_1000.dimacs;square_mesh;dfs;222000;34845.601522000;145853;222000;0.656995495;134898;5478;0;0;0.000001771;0.000043612;0.000019607;0.000000002;0.000007128;0.813879675;0.107590472;0.107704612;-1;-1;-1;-1
13graph_74_25_1000.dimacs;square_mesh;fat;222000;475.256785000;346;4791630.959942485;0.000072209;134898;5478;0;0;0.000010182;0.000250744;0.000000267;0.000000032;0.000004990;1;1;1;0.000182548;0.000182548;0.109059172;0.838268499
13graph_74_25_1000.dimacs;square_mesh;scaling;222000;181.416636000;736;222000;0.003315315;134898;5478;0;0;0.000001827;0.000044996;0.000000102;0.000000004;0.000015965;0.286386653;0.085186948;0.051412753;-1;-1;-1;-1
14graph_76_25_1000.dimacs;square_mesh;bfs;228000;9153.585313000;22668;822509856;0.000027560;142352;5778;0.083925761;0.000346141;0.000002837;0.000069888;-0.000007339;0.000001363;0.000001390;1.000173070;1;1;-1;-1;-1;-1
14graph_76_25_1000.dimacs;square_mesh;dfs;228000;40634.477883000;156509;228000;0.686442982;142352;5778;0;0;0.000001824;0.000044934;-0.000032578;0.000000002;0.000007241;0.812081513;0.109221329;0.109453538;-1;-1;-1;-1
14graph_76_25_1000.dimacs;square_mesh;fat;228000;516.226623000;353;5067353.767573194;0.000069662;142352;5778;0;0;0.000010273;0.000253098;-0.000000414;0.000000030;0.000005034;1;1;1;0.000173070;0.000173070;0.109824993;0.844425750
14graph_76_25_1000.dimacs;square_mesh;scaling;228000;203.881089000;744;228000;0.003263158;142352;5778;0;0;0.000001925;0.000047427;-0.000000163;0.000000004;0.000014910;0.295559352;0.096540306;0.058557937;-1;-1;-1;-1
15graph_78_25_1000.dimacs;square_mesh;bfs;234000;10102.516088000;24073;912936516;0.000026369;150006;6086;0.084383291;0.000328623;0.000002798;0.000068955;-0.000015953;0.000001344;0.000001371;1.000164312;1;1;-1;-1;-1;-1
15graph_78_25_1000.dimacs;square_mesh;dfs;234000;45675.583786000;165153;234000;0.705782051;150006;6086;0;0;0.000001844;0.000045443;-0.000072128;0.000000002;0.000007236;0.809359821;0.110711297;0.110973488;-1;-1;-1;-1
15graph_78_25_1000.dimacs;square_mesh;fat;234000;563.458682000;366;5351058.735061699;0.000068398;150006;6086;0;0;0.000010263;0.000252958;-0.000000890;0.000000029;0.000005029;1;1;1;0.000164312;0.000164312;0.109678454;0.843553748
15graph_78_25_1000.dimacs;square_mesh;scaling;234000;213.858882000;768;234000;0.003282051;150006;6086;0;0;0.000001856;0.000045755;-0.000000338;0.000000004;0.000016224;0.278137708;0.085216218;0.051568658;-1;-1;-1;-1
16graph_80_25_1000.dimacs;square_mesh;bfs;240000;11253.269615000;25443;1.01061972e+09;0.000025176;157860;6402;0.084920182;0.000312402;0.000002802;0.000069087;0.000006881;0.000001346;0.000001373;1.000156201;1;1;-1;-1;-1;-1
16graph_80_25_1000.dimacs;square_mesh;dfs;240000;51361.701456000;175767;240000;0.732362500;157860;6402;0;0;0.000001851;0.000045644;0.000031404;0.000000002;0.000007165;0.807553288;0.112450473;0.112802845;-1;-1;-1;-1
16graph_80_25_1000.dimacs;square_mesh;fat;240000;613.849567000;375;5642760.913199035;0.000066457;157860;6402;0;0;0.000010370;0.000255691;0.000000375;0.000000028;0.000005082;1;1;1;0.000156201;0.000156201;0.109276844;0.840704253
16graph_80_25_1000.dimacs;square_mesh;scaling;240000;232.722670000;791;240000;0.003295833;157860;6402;0;0;0.000001864;0.000045956;0.000000142;0.000000004;0.000016846;0.273581936;0.081902117;0.049769579;-1;-1;-1;-1
17graph_82_25_1000.dimacs;square_mesh;bfs;246000;12536.508482000;26749;1.11593756e+09;0.000023970;165914;6726;0.085330352;0.000297354;0.000002825;0.000069681;0.000030725;0.000001357;0.000001384;1.000148677;1;1;-1;-1;-1;-1
17graph_82_25_1000.dimacs;square_mesh;dfs;246000;61623.565412000;183885;246000;0.747500000;165914;6726;0;0;0.000002020;0.000049825;0.000151031;0.000000002;0.000007714;0.805777268;0.114170963;0.114582437;-1;-1;-1;-1
17graph_82_25_1000.dimacs;square_mesh;fat;246000;659.075370000;378;5942474.970888561;0.000063610;165914;6726;0;0;0.000010509;0.000259231;0.000001615;0.000000027;0.000005150;1;1;1;0.000148677;0.000148677;0.109801833;0.844970361
17graph_82_25_1000.dimacs;square_mesh;scaling;246000;254.053945000;825;246000;0.003353659;165914;6726;0;0;0.000001856;0.000045784;0.000000623;0.000000003;0.000017473;0.268739311;0.078303195;0.047666038;-1;-1;-1;-1
