graph_name;graph_type;algorithm;max_flow;avg_runtime;avg_iterations;avg_bound;avg_r;avg_m;avg_n;avg_cFrac;avg_rBar;avg_time_per_mI;avg_time_per_nI;avg_time_over_nm;avg_time_over_I_sntm;avg_s_bar;avg_t_bar_forward;avg_t_bar_residual;avg_insert_norm;avg_delete_norm;avg_update_norm_m;avg_update_norm_theoretical
4graph_56_25_1000.dimacs;square_mesh;bfs;168000;2394.020696600;11526;241036056;0.000047819;76812;3138;0.077897985;0.000637349;0.000001352;0.000066191;0.000004966;0.000001332;0.991067968;0.999635100;0.994891770;-1;-1;-1;-1
4graph_56_25_1000.dimacs;square_mesh;dfs;168000;7838.814629800;66160;168000;0.393809524;76812;3138;0;0;0.000000771;0.000037758;0.000016261;0.000007093;0.836086687;0.092741137;0.091665592;-1;-1;-1;-1
4graph_56_25_1000.dimacs;square_mesh;fat;168000;111.254938400;264;2666621.016703893;0.000099002;76812;3138;0;0;0.000002743;0.000134296;0.000000231;0.000003593;0.744374916;0.756833489;0.748302723;0.987851749;0.788083995;0.095204900;0.728764993
4graph_56_25_1000.dimacs;square_mesh;scaling;168000;19.251342000;557;2666621.016703893;0.000208879;76812;3138;0;0;0.000000225;0.000011014;0.000000040;0.000004204;0.323150058;0.078484707;0.046915790;-1;-1;-1;-1
5graph_58_25_1000.dimacs;square_mesh;bfs;174000;2728.094594800;12470;277580556;0.000044924;82466;3366;0.078304998;0.000594177;0.000001326;0.000064995;0.000004914;0.000001306;0.991357892;0.999647257;0.995062676;-1;-1;-1;-1
5graph_58_25_1000.dimacs;square_mesh;dfs;174000;9398.101098800;73781.800000000;174000;0.424033333;82466;3366;0;0;0.000000772;0.000037842;0.000016929;0.000006962;0.833694824;0.094817467;0.093913760;-1;-1;-1;-1
5graph_58_25_1000.dimacs;square_mesh;fat;174000;118.258678600;272;2871256.290295210;0.000094732;82466;3366;0;0;0.000002636;0.000129167;0.000000213;0.000003682;0.698776257;0.709737061;0.701595069;0.985235137;0.723738248;0.090440214;0.692714348
5graph_58_25_1000.dimacs;square_mesh;scaling;174000;24.785426400;558;2871256.290295210;0.000194340;82466;3366;0;0;0.000000269;0.000013196;0.000000045;0.000004260;0.332726378;0.094098169;0.056432413;-1;-1;-1;-1
6graph_60_25_1000.dimacs;square_mesh;bfs;180000;3232.301602200;13432;318128640;0.000042222;88320;3602;0.079189312;0.000555247;0.000001362;0.000066808;0.000005080;0.000001341;0.991794356;0.999665345;0.995309811;-1;-1;-1;-1
6graph_60_25_1000.dimacs;square_mesh;dfs;180000;11332.724662400;82078.400000000;180000;0.455991111;88320;3602;0;0;0.000000782;0.000038331;0.000017812;0.000006951;0.830756952;0.096209736;0.095511762;-1;-1;-1;-1
6graph_60_25_1000.dimacs;square_mesh;fat;180000;132.402454400;286;3083717.066978385;0.000092745;88320;3602;0;0;0.000002621;0.000128525;0.000000208;0.000003633;0.703985354;0.715142647;0.707005636;0.983169801;0.737843778;0.091810296;0.703603028
6graph_60_25_1000.dimacs;square_mesh;scaling;180000;26.568763200;587;3083717.066978385;0.000190355;88320;3602;0;0;0.000000256;0.000012566;0.000000042;0.000004170;0.323810735;0.091637753;0.054851840;-1;-1;-1;-1
7graph_62_25_1000.dimacs;square_mesh;bfs;186000;3729.341105800;14498;362962404;0.000039944;94374;3846;0.079804819;0.000520021;0.000001363;0.000066883;0.000005137;0.000001342;0.991965718;0.999672581;0.995415072;-1;-1;-1;-1
7graph_62_25_1000.dimacs;square_mesh;dfs;186000;13723.950484000;90641.800000000;186000;0.487321505;94374;3846;0;0;0.000000802;0.000039368;0.000018905;0.000007012;0.828489181;0.098050027;0.097512611;-1;-1;-1;-1
