graph_name;graph_type;algorithm;max_flow;avg_runtime;avg_iterations;avg_bound;avg_r;avg_m;avg_n;avg_cFrac;avg_rBar;avg_time_per_mI;avg_time_per_nI;avg_time_over_nm;avg_time_over_I_sntm;avg_s_bar;avg_t_bar_forward;avg_t_bar_residual;avg_insert_norm;avg_delete_norm;avg_update_norm_m;avg_update_norm_theoretical
3graph_2830_25_1000.dimacs;matching;fat;2830000;99.694869400;2830;3275294.878512315;0.000864044;76410;5662;0;0;0.000000231;0.000006222;0.000000115;0.000006612;0.016602157;0.053515205;0.034249300;0.539617286;0.016602157;0;0
3graph_2830_25_1000.dimacs;matching;scaling;2830000;107.168041400;2830;3275294.878512315;0.000864044;76410;5662;0;0;0.000000248;0.000006688;0.000000124;0.000004613;0.570961827;0.061561055;0.032559516;-1;-1;-1;-1
4graph_2995_25_1000.dimacs;matching;bfs;2995000;283.698150600;2995;484543080;0.000006181;80865;5992;0.056112039;0.000337015;0.000000586;0.000015808;0.000000293;0.000002024;0.270593958;0.509329292;0.279330292;-1;-1;-1;-1
4graph_2995_25_1000.dimacs;matching;dfs;2995000;71.792012800;2995;2995000;0.001000000;80865;5992;0;0;0.000000148;0.000004000;0.000000074;0.000007229;0.271249925;0.020748521;0.010453523;-1;-1;-1;-1
4graph_2995_25_1000.dimacs;matching;fat;2995000;113.481595000;2995;3479479.367084263;0.000860761;80865;5992;0;0;0.000000234;0.000006323;0.000000117;0.000006377;0.018245585;0.055054733;0.036064661;0.549167504;0.018245585;0;0
4graph_2995_25_1000.dimacs;matching;scaling;2995000;117.212703800;2995;3479479.367084263;0.000860761;80865;5992;0;0;0.000000242;0.000006531;0.000000121;0.000004500;0.571442948;0.061649426;0.032608179;-1;-1;-1;-1
5graph_3160_25_1000.dimacs;matching;bfs;3160000;308.954254800;3160;539393040;0.000005858;85320;6322;0.056088842;0.000319297;0.000000573;0.000015465;0.000000286;0.000001979;0.270563263;0.508592577;0.279461684;-1;-1;-1;-1
5graph_3160_25_1000.dimacs;matching;dfs;3160000;77.922722200;3160;3160000;0.001000000;85320;6322;0;0;0.000000145;0.000003901;0.000000072;0.000007064;0.270756490;0.020698116;0.010426933;-1;-1;-1;-1
5graph_3160_25_1000.dimacs;matching;fat;3160000;126.971365600;3160;3684372.387315259;0.000857677;85320;6322;0;0;0.000000235;0.000006356;0.000000118;0.000006306;0.018907252;0.055686559;0.036638793;0.553580124;0.018907252;0;0
5graph_3160_25_1000.dimacs;matching;scaling;3160000;128.897832800;3160;3684372.387315259;0.000857677;85320;6322;0;0;0.000000239;0.000006452;0.000000119;0.000004486;0.567776230;0.060998460;0.032256286;-1;-1;-1;-1
6graph_3325_25_1000.dimacs;matching;bfs;3325000;343.557478800;3325;597183300;0.000005568;89775;6652;0.056101365;0.000303527;0.000000575;0.000015533;0.000000288;0.000002002;0.268576402;0.508842663;0.277434971;-1;-1;-1;-1
6graph_3325_25_1000.dimacs;matching;dfs;3325000;86.111035800;3325;3325000;0.001000000;89775;6652;0;0;0.000000144;0.000003893;0.000000072;0.000007050;0.270102939;0.020743353;0.010452079;-1;-1;-1;-1
6graph_3325_25_1000.dimacs;matching;fat;3325000;136.763875200;3325;3889936.908479369;0.000854770;89775;6652;0;0;0.000000229;0.000006183;0.000000115;0.000006047;0.019268511;0.056017933;0.037172663;0.557075853;0.019268511;0;0
