graph_name;graph_type;algorithm;max_flow;avg_runtime;avg_iterations;avg_bound;avg_r;avg_m;avg_n;avg_cFrac;avg_rBar;avg_time_per_mI;avg_time_per_nI;avg_time_over_nm_n_plus_m;avg_time_over_r_2nm_sntm;avg_time_over_I_sntm;avg_s_bar;avg_t_bar_forward;avg_t_bar_residual;avg_insert_norm;avg_delete_norm;avg_update_norm_m;avg_update_norm_theoretical
16graph_4975_25_1000.dimacs;matching;scaling;4975000;1769.515550000;4975;4975000;0.001000000;134325;9952;0;0;0.000002648;0.000035740;0.000045997;0.000000068;0.000025778;0.556943479;0.058170589;0.030729244;-1;-1;-1;-1
17graph_5140_25_1000.dimacs;matching;bfs;5140000;4210.592475000;5140;1.42693596e+09;0.000003602;138780;10282;0.056074362;0.000196289;0.000005903;0.000079671;-0.000002072;0.000002748;0.000002846;1.000097257;1;1;-1;-1;-1;-1
17graph_5140_25_1000.dimacs;matching;dfs;5140000;191.313646000;5140;5140000;0.001000000;138780;10282;0;0;0.000000268;0.000003620;-0.000000094;0.000000016;0.000006782;0.264019457;0.019889097;0.009993700;-1;-1;-1;-1
17graph_5140_25_1000.dimacs;matching;fat;5140000;4116.688235000;5140;6187738.597941997;0.000830675;138780;10282;0;0;0.000005771;0.000077895;-0.000002026;0.000000012;0.000002782;1;1;1;0.000097257;0.000097257;0.074081280;0.384209262
17graph_5140_25_1000.dimacs;matching;scaling;5140000;1929.019154000;5140;5140000;0.001000000;138780;10282;0;0;0.000002704;0.000036500;-0.000000949;0.000000068;0.000026381;0.557167015;0.057958511;0.030614632;-1;-1;-1;-1
18graph_5305_25_1000.dimacs;matching;bfs;5305000;4552.170809000;5305;1.52000982e+09;0.000003490;143235;10612;0.056079171;0.000190202;0.000005991;0.000080860;0.000005254;0.000002789;0.000002888;1.000094233;1;1;-1;-1;-1;-1
18graph_5305_25_1000.dimacs;matching;dfs;5305000;198.473294000;5305;5305000;0.001000000;143235;10612;0;0;0.000000261;0.000003525;0.000000229;0.000000015;0.000006617;0.263388112;0.019862877;0.009979745;-1;-1;-1;-1
18graph_5305_25_1000.dimacs;matching;fat;5305000;4322.159426000;5305;6399430.790673383;0.000828980;143235;10612;0;0;0.000005688;0.000076775;0.000004989;0.000000011;0.000002742;1;1;1;0.000094233;0.000094233;0.074081056;0.384209531
18graph_5305_25_1000.dimacs;matching;scaling;5305000;2072.081189000;5305;5305000;0.001000000;143235;10612;0;0;0.000002727;0.000036806;0.000002392;0.000000066;0.000026691;0.555843029;0.057734159;0.030493356;-1;-1;-1;-1
19graph_5470_25_1000.dimacs;matching;bfs;5470000;4721.875522000;5470;1.61602398e+09;0.000003385;147690;10942;0.056083689;0.000184481;0.000005845;0.000078892;-0.000007909;0.000002721;0.000002818;1.000091391;1;1;-1;-1;-1;-1
19graph_5470_25_1000.dimacs;matching;dfs;5470000;212.402757000;5470;5470000;0.001000000;147690;10942;0;0;0.000000263;0.000003549;-0.000000356;0.000000015;0.000006652;0.263485114;0.019902903;0.010001658;-1;-1;-1;-1
19graph_5470_25_1000.dimacs;matching;fat;5470000;4868.876931000;5470;6611522.855263781;0.000827343;147690;10942;0;0;0.000006027;0.000081348;-0.000008156;0.000000011;0.000002906;1;1;1;0.000091391;0.000091391;0.074080845;0.384209784
19graph_5470_25_1000.dimacs;matching;scaling;5470000;2210.182541000;5470;5470000;0.001000000;147690;10942;0;0;0.000002736;0.000036927;-0.000003702;0.000000065;0.000026703;0.554974843;0.058057073;0.030668500;-1;-1;-1;-1
