graph_name;graph_type;algorithm;max_flow;avg_runtime;avg_iterations;avg_bound;avg_r;avg_m;avg_n;avg_cFrac;avg_rBar;avg_time_per_mI;avg_time_per_nI;avg_time_over_nm;avg_time_over_I_sntm;avg_s_bar;avg_t_bar_forward;avg_t_bar_residual;avg_insert_norm;avg_delete_norm;avg_update_norm_m;avg_update_norm_theoretical
8graph_64_64_25_1000.dimacs;basic_line;scaling;777356;170.661542800;6178;3397705.328615653;0.001818286;82430;4098;0;0;0.000000168;0.000006741;0.000000253;0.000007745;0.222640208;0.019206895;0.016101737;-1;-1;-1;-1
9graph_66_66_25_1000.dimacs;basic_line;bfs;804970;2067.600244400;5399;385543544;0.000014004;88468;4358;0.030587331;0.000458926;0.000002164;0.000087875;0.000002681;0.000002146;0.976086668;0.989042790;0.984363001;-1;-1;-1;-1
9graph_66_66_25_1000.dimacs;basic_line;dfs;804970;20081.999271800;318877.800000000;1650000;0.193259273;88468;4358;0;0;0.000000356;0.000014451;0.000026044;0.000008284;0.566671423;0.030522847;0.029009444;-1;-1;-1;-1
9graph_66_66_25_1000.dimacs;basic_line;fat;804970;1129.411874800;2161;3654442.264887759;0.000591335;88468;4358;0;0;0.000002954;0.000119925;0.000001465;0.000004969;0.571974735;0.558975973;0.580416068;0.926132327;0.577145883;0.046557979;0.313932336
9graph_66_66_25_1000.dimacs;basic_line;scaling;804970;175.976372400;6440;3654442.264887759;0.001762239;88468;4358;0;0;0.000000154;0.000006270;0.000000228;0.000008473;0.209693603;0.014464959;0.013062104;-1;-1;-1;-1
10graph_68_68_25_1000.dimacs;basic_line;bfs;823116;2237.631056000;5563;437462316;0.000012717;94566;4626;0.029492629;0.000432339;0.000002127;0.000086951;0.000002558;0.000002109;0.976590357;0.989529040;0.984305739;-1;-1;-1;-1
10graph_68_68_25_1000.dimacs;basic_line;dfs;823116;16931.505920000;305777.400000000;1700000;0.179869059;94566;4626;0;0;0.000000293;0.000011972;0.000019352;0.000008268;0.515415046;0.024108693;0.022813560;-1;-1;-1;-1
10graph_68_68_25_1000.dimacs;basic_line;fat;823116;467.945400600;1799;3914484.544302543;0.000459575;94566;4626;0;0;0.000001375;0.000056229;0.000000535;0.000005486;0.245781571;0.231112429;0.244699288;0.773381451;0.246030544;0.025665756;0.173868533
10graph_68_68_25_1000.dimacs;basic_line;scaling;823116;153.854790800;6530;3914484.544302543;0.001668163;94566;4626;0;0;0.000000125;0.000005093;0.000000176;0.000009926;0.176587157;0.007470866;0.008231667;-1;-1;-1;-1
11graph_70_70_25_1000.dimacs;basic_line;bfs;847066;2817.935207800;6021;494048070;0.000012187;100785;4902;0.029979660;0.000407997;0.000002322;0.000095475;0.000002852;0.000002300;0.977972310;0.990313392;0.985554978;-1;-1;-1;-1
11graph_70_70_25_1000.dimacs;basic_line;dfs;847066;23819.090932000;357781.800000000;1750000;0.204446743;100785;4902;0;0;0.000000330;0.000013582;0.000024106;0.000008350;0.548617521;0.027590003;0.026215456;-1;-1;-1;-1
